name,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,red_chisq,drift_errors_raw,drifts_raw
M1,1816.7844341723653,512.4993558508372,512.4850329636199,173.99131611938603,47.071621879464885,1.7165645804224563,0.11610869598501689,0.0033849988390646083,0.011008015917662066,0.011140271750810955,0.0030069202296795178,2.6377333870490904e-05,9.733683241441026,0.19076700636321273,-1039.3594223692464
M2,81.49221057192602,512.4944255530306,512.4783395978179,177.6760579680302,44.62740083356559,8.057176893895857,0.03742786827153555,0.025954389725104828,0.0800133973565435,0.0817835187906058,0.020486065423307383,0.00017409252079631898,3.8184129607306407,0.6523165260063905,-740.5785704696756
M3,184.11097799590308,512.4955582037309,512.3565413669546,170.31670445605135,19.220629718696564,1.6247807532384837,0.05701168641825184,0.006587440976848552,0.05265584093534685,0.05282218584054,0.005949910896736416,5.0052083779420977e-05,4.049444686415699,2.623174493614193,-2823.7705198758676
M4,4.226268380865755,512.4151528177836,511.98555249643437,159.27981853212825,-26.21396120593134,1.7080906442414951,0.047212190857225125,0.37871930645489876,1.762960431075174,1.7801403904719315,0.2928072703532899,0.0026723006232244485,3.318849720955885,21.76861267493525,-1104.4006747240599
M5,5.536640471546585,512.4631437913088,512.829603222203,37.31701137518078,166.62822243916207,3.2137215022244456,0.03831273806509904,0.27046185177557674,1.1497056193428503,0.258021891652938,1.153948091347564,0.002305968472255203,3.3607150489509667,67.74990880774595,-2111.820516323431
M6,151.95285110480359,512.4873524678145,512.3946457841048,157.14088889542094,12.43800253796939,1.5960077485923434,0.06319832021762178,0.005427544561443923,0.06533409038727314,0.06538495072442572,0.005173051208371783,4.685123030371985e-05,6.719787668031635,11.24963441543711,-6051.049456465338
M7,269.70713698695647,512.4959994514047,512.4839234957275,102.65223682014131,38.822693051121036,1.7192949953840102,0.05243157245041703,0.008026661309995808,0.019766407606760534,0.01995446063427336,0.007547030399530503,0.00012133434282361226,6.302707066972784,0.8457721388204364,-1019.9729354859584
M8,246.1095619826844,512.4948832044527,512.4927878434047,171.6189445431336,64.50591015205474,1.9922359032138204,0.02812173390145077,0.010467295897878818,0.018145127136746608,0.019619060650924027,0.007369692849248421,7.072544584781702e-05,6.1465695935494695,0.06448979034795027,-340.3697969410603
M9,3.555137629734869,512.3103677257646,512.3684605108184,133.4095557993799,89.61533044024725,2.2430250457204077,0.02767400172350302,0.8461972283427226,0.9217363495787104,1.0387780669888975,0.6975587969338153,0.013464595590265775,3.3614157402505596,5.297999433749957,-191.7202553232637
M10,5.792539650267613,512.4450431589161,512.9347212393134,131.25659701156965,47.05622217758328,1.7516696572861712,0.03920303309574097,0.35152901372776235,0.8748697982993091,0.8875024933393527,0.31830431345125293,0.003938060873976276,3.375381323531603,18.5692602792737,-834.3975894240446
M11,11.934460742825763,512.5069774954889,512.3255865447462,182.95926957473202,39.53136535582455,1.7177152741347952,0.03667938145116068,0.14555499329732377,0.5563409464607487,0.5644197200767755,0.12138150504730728,0.0009847157354667437,3.3629975699147914,7.0113614595754346,-1031.1020557401926
M12,82.3386825849934,512.4991880633127,512.4549186877379,138.5907886635084,28.588618482318743,4.861931275436998,0.043243309998245175,0.018382749079456164,0.07199874137323986,0.07277795611600253,0.015012771729058278,0.00016001521834732983,3.9157099283188574,1.1000009303116243,-1012.7486366519815
M13,927.1486798779226,512.4990735028905,512.4685385217944,141.84529947553082,40.4367130991564,1.735956905187487,0.07708713863697522,0.00384156240968585,0.01164605659842951,0.011793922011854432,0.003362069028785126,3.648591102135523e-05,11.238787212802604,0.20596098874312088,-915.4601585778304
M14,327.57975999675216,512.4972216242018,512.1583930509227,160.73610385849048,11.430525203858187,-1.5266336888355183,0.06852452164252949,0.0028121395568905853,0.03358876810045621,0.0336442885230115,0.0023908036761531907,2.1143416875222267e-05,4.744576466517902,1.6552652073966305,-3452.888808728977
M15,520.61694001007,512.4845282671147,512.4898040582884,65.74027770923078,47.59690266697456,1.9920244252887647,0.062497161844391226,0.006132071411584286,0.007571787881298175,0.007892154169941039,0.0057138580720211005,0.000258310411737374,15.555409928570564,0.2357583268813212,-340.5627204878234
M16,2591.3721317034806,512.4989347090384,512.4900998010465,125.26111930883626,46.470680401577575,1.704923694008454,0.060812105033368834,0.0011500000337790336,0.002916699426791483,0.0029394579002557865,0.00109052824541385,1.4277538720487322e-05,159.81992153989208,0.12182727237947398,-1130.80401175578
