name,amplitude,xo,yo,sigmax,sigmay,theta,drift (mhz/ms),angle,time_res,center_f
13,200,80.390680090889,64.4346378698828,12.8482430914678,1.75426694831839,1.56988111525746,6946.83878079116,1.56923145023643,0.00098304,600
14,649.314367374815,80.3756107349863,64.4113762600319,8.42055939716526,-2.71073736304454,2.1431339269322,-9.86824482316534,2.1431339269322,0.00098304,600
15,97.8070105453457,140.390832845864,64.252208266184,11.2062693131243,5.23765740766116,1.85320126951747,-21.911463401136,1.83616256539886,0.00098304,600
15.5,506.557763173813,176.380357036839,64.3436759401513,3.42517562311008,8.37046718272172,0.500236871218258,-11.6313782768845,-1.07055945557664,0.00098304,600
16,449.010463012741,80.2861982778656,64.1313615364121,2.35648090381857,4.77379567887764,0.252044642842314,-24.6885823651088,-1.31875168395258,0.00098304,600
18,2681.36625028127,80.4669771244506,64.4069869451521,13.6478954662882,3.38034400204073,1.80088606261589,-27.1425995770914,1.80088606261589,0.00098304,600
19,1281.0460311037,80.3717614465142,64.3291676829197,8.27680605770397,2.7407180551405,2.13052952922769,-10.1469082535003,2.13052952922769,0.00098304,600
21,311.594879988012,80.2909082464482,64.3288034875111,8.11497314871591,-4.21896516863518,1.94280514595308,-16.2947720151242,1.94280514595308,0.00098304,600
23,4203.40489049998,80.4800242639137,64.0285547255365,13.5075721232135,2.11124946812433,1.73103174884598,-39.337882240949,1.73103174884598,0.00098304,600
24,140.49991462627,80.1536759143361,64.1365027564844,2.56534393707693,5.98915230409772,72.4986772942168,-25.7520207848642,70.9278809674219,0.00098304,600
26,370.456419879055,80.2172545731665,64.0041567453945,7.0968566180826,1.12477671414312,4.92388762629525,-29.6112821772621,4.92388762629525,0.00098304,600
29,140.969612530487,80.3492291743335,64.1113291066375,9.12063992483311,3.66235207421377,2.11943299301541,-10.4016796966713,2.0994630987796,0.00098304,600
31,200,58.2115523493256,64.5893330270078,11.140461633267,1.21371767400006,1.60062847964499,-213.056785763995,1.60062847964499,0.00098304,600
32,129.885382139862,22.4298050595404,64.2913851755544,11.7381385655537,2.99688710280233,1.6746858262013,-60.9776630833306,1.6746858262013,0.00098304,600
33,828.013453158628,80.2825549971847,64.2044320072407,5.71654294640319,2.27471652840773,1.55537777256722,412.316541148488,1.55537777256722,0.00098304,600
36,3120.59938478409,80.454754229528,65.3430571985617,13.3879078791216,-1.52226615390159,1.50495256771618,96.4197411666504,1.50495256771618,0.00098304,600
