burst,MJD,DM,error
1,58377.42972096,349.2,0.2
2,58410.34656422,349.0,0.6
3,58410.34656495,349.0,0.6
4,58426.29413444,349.5,0.3
5,58426.30088378,349.6,0.2
6,58442.25174905,349.9,0.6
7,58474.17007574,349.1,0.1
8,58475.16454902,349.7,0.7
9,58477.16557196,348.9,0.7
10,58478.15889115,348.8,0.8
11,58509.06654412,349.8,0.5
12,58621.75641235,349.8,0.7
13,58621.76154355,350.2,0.3
14,58622.74024356,348.9,0.1
15,58622.75315853,349.4,0.2
16,58622.75441645,349.3,0.4
17,58637.71187752,349.9,0.5
18,58638.7134735,348.82,0.05
19,58639.70267121,349.7,0.2
20,58639.70713864,348.86,0.5
21,58704.53530987,349.6,0.3
22,58705.53461219,349.3,0.9
23,58720.49302597,349.0,0.1
24,58720.49551788,349.7,0.4
25,58720.49551860,349.7,0.4
26,58720.49669723,349.5,0.5
27,58786.31947325,349.7,0.7
28,58786.32497972,349.1,0.4
29,58835.17721035,349.5,0.5
30,58836.17591788,350.1,0.4
31,58836.17845766,349.5,0.2
32,58836.17845804,349.5,0.2
33,58868.07829861,349.6,0.4
34,58882.04838586,349.4,0.3
35,58883.0414668,349.6,0.3
36,58883.04307123,349.81,0.05
37,58883.04556977,349.8,0.5
38,58883.05523556,348.7,0.6
