name,amplitude,xo,yo,sigmaxp,sigmayp,theta,drift (mhz/ms),time_res,angle,xscale,yscale,center_f
burst13,966.027564498859,477.561309483435,480.49339717217,97.7279992681146,11.9252175440695,-2.95208471373488,-26.684021062096,0.00098304,1.76030426664981,6,7.453125,600
burst14,1157.99373209117,477.510891349222,480.499028960349,28.273647458376,65.8828156391698,2.23763184293142,-6.50253591202094,0.00098304,2.23763184293142,6,7.453125,600
burst15,427.956535971657,477.707795559342,480.482064050718,19.5408902131371,136.671797671369,1.74079226469375,-7.45437426009249,0.00098304,1.74079226469375,1.5,7.453125,600
burst16,1030.34765026726,477.513497208149,480.496601561257,24.9048353456019,45.2310391409387,-4.40460323519622,-16.1008146142411,0.00098304,1.87858207198337,6,7.453125,600
burst18,3057.06118342506,477.524033997901,480.500651929236,24.4225473819214,108.075195472919,1.87415051037752,-16.3514478869571,0.00098304,1.87415051037752,6,7.453125,600
burst19,1393.0770821151,477.510436315535,480.500885525661,-20.6016885890169,62.6020480095635,2.07694669643668,-9.23346479635037,0.00098304,2.07694669643668,6,7.453125,600
burst20,1669.06613706915,477.503481986258,480.499507926222,48.5849405935998,55.3030802891735,-4.05347906029895,-4.40643800905257,0.00098304,2.22970624688064,4,7.453125,600
burst21,1320.26010783998,477.503584718023,480.509911069619,25.1407115623578,-47.0397550886697,2.17162413774456,-7.46805499171126,0.00098304,2.17162413774456,6,7.453125,600
burst23,3435.73085793971,477.547557644062,480.500275132924,23.1209864831397,111.440078779668,1.76831565614009,-25.5748000981131,0.00098304,1.76831565614009,6,7.453125,600
burst29,534.356624334474,477.508585298222,480.504302613446,37.1425580160434,109.004106104237,2.0345498604692,-10.2337940210991,0.00098304,2.0345498604692,6,7.453125,600
burst33,1442.5434121391,477.50205930658,480.49893565433,51.6443328414719,21.9648377067615,3.25673809145393,-44.2537030099365,0.00098304,1.68594176465903,6,7.453125,600
burst36,2140.8373583392,477.559907427918,480.501980541644,18.5275963329469,94.916303087005,1.69253711505874,-41.834307028018,0.00098304,1.69253711505874,6,7.453125,600
