name,amp_error,xo_error,yo_error,sigmaxp_error,sigmayp_error,angle_error,drift error (mhz/ms),red_chisq
burst13,0.622800340180468,0.061879769317723,0.014063831374599,0.062990514748863,0.007687149696407,0.000112938032426,0.016289669919898,15.0479809844049
burst14,0.470663125705231,0.02221116829291,0.018866790285204,0.011493629442253,0.026780371358121,0.000302414033313,0.004046138152915,14.5748163624793
burst15,0.241431631337206,0.076019820182057,0.01697850322193,0.011026168626794,0.077115261006723,0.000116475536629,0.005207231128867,12.1977020879549
burst16,0.604559879672179,0.025678850744341,0.016084327791452,0.014616529830866,0.026541778963145,0.000655927181278,0.036579497509523,13.0348274494637
burst18,0.303605513256079,0.010268736520409,0.003954521414658,0.002425478941053,0.010733231172897,3.34465757688636E-05,0.001918387189187,19.5343072094764
burst19,0.554034504946473,0.022131198572663,0.014036319204286,0.008193006976471,0.024893429735499,0.000207589611707,0.004520403206024,12.7311510882351
burst20,0.241563493123247,0.00765398187626,0.007411128512199,0.007031671417606,0.008003990371445,0.000787963775012,0.007172515780309,17.9792127081387
burst21,0.622084793567952,0.01947407879102,0.015890902196178,0.011847045804181,0.022167724913525,0.000498525707142,0.007983844644266,14.2065272686147
burst23,0.269430415893295,0.00857669537106,0.002470283033347,0.001813224351346,0.008739236610339,2.40456306964456E-05,0.003195904862514,40.394132008396
burst29,0.361033767882082,0.066829490254426,0.0398697132727,0.025101646351936,0.073659229043332,0.000368437970269,0.009424798476664,13.1802021136062
burst33,0.616319177225535,0.021941554198459,0.009659870802064,0.022061166731231,0.009383487193007,0.000313740130414,0.121651784477235,14.796379048638
burst36,0.468643166809333,0.020629924666959,0.004751242804109,0.004055895573754,0.020777820086931,6.28253337312563E-05,0.021803732873907,18.8954080770809
