Source,NumBursts,DM,Telescope,Publication
121102,Many,,Several,"Gajjar et al. 2018, Hessels et al. 2019, Michilli et al. 2018"
180916.J0158+65,10,349.2,CHIME ,Andersen et al. 2019
181030.J1054+73,2,103.5,CHIME ,Andersen et al. 2019
181128.J0456+63,2,450.5,CHIME ,Andersen et al. 2019
181119.J12+65,3,364.05,CHIME ,Andersen et al. 2019
190116.J1249+27,2,441,CHIME ,Andersen et al. 2019
181017.J1705+68,2,1281.6,CHIME ,Andersen et al. 2019
190209.J0937+77,2,425,CHIME ,Andersen et al. 2019
190222.J2052+69,2,460.6,CHIME ,Andersen et al. 2019
180814.J0422+73,6,190,CHIME ,"Amiri et al. 2019, CHIME et al. 2019"
190711,1 (possible),,ASKAP,Day et al. 2020
171019,3,461,ASKAP/GBT,"Kumar et al. 2019, Shannon et al. 2019, http://www.astronomerstelegram.org/?read=13013"
